OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0000001,2022-04-12,CUST-06063,James Williams,PROD-5712,Clif Bar Energy Bars 12-Pack,Grocery & Gourmet Food,Clif Bar,1,16.41,0.0,0.98,5.99,23.38,Credit Card,Processing,Grand Rapids,MI,USA,SELL-480
ORD0000002,2023-04-03,CUST-00447,Michael Garcia,PROD-9368,Fitbit Charge 5,Electronics,Fitbit,1,160.41,0.0,0.0,0.0,160.41,PayPal,Processing,Manchester,NH,USA,SELL-915
ORD0000003,2024-11-12,CUST-00397,Patricia Brown,PROD-3373,Exploding Kittens Card Game,Toys & Games,Exploding Kittens,1,22.36,0.0,2.29,7.99,32.64,Credit Card,Delivered,Naperville,IL,USA,SELL-976
ORD0000004,2022-06-02,CUST-00059,Patricia Brown,PROD-9080,iPad Air,Electronics,Apple,1,622.86,0.0,55.28,0.0,678.14,Credit Card,Delivered,Rochester,NY,USA,SELL-784
ORD0000005,2023-09-06,CUST-00264,Jennifer Jones,PROD-8952,Nike Air Force 1,Clothing & Fashion,Nike,6,120.82,0.0,74.3,0.0,799.22,Debit Card,Delivered,Rockford,IL,USA,SELL-850
ORD0000006,2022-12-03,CUST-13790,Jennifer Jones,PROD-3312,Nik3 Air Forc3 1,Clothing & Fashion,Nike,2,113.72,0.0,12.05,0.0,239.49,Credit Card,Delivered,Virginia Beach,VA,USA,SELL-683
ORD0000007,2024-05-26,CUST-01519,Linda Rodriguez,PROD-5832,Keurig K-Classic Coffee Maker,Home & Kitchen,Keurig,1,159.6,27.79,12.52,18.83,163.16,Credit Card,Delivered,Memphis,TN,USA,SELL-839
ORD0000008,2024-05-22,CUST-00158,Michael Garcia,PROD-4434,KitchenAid Artisan Series Mixer,Home & Kitchen,KitchenAid,1,537.0,328.27,13.83,26.82,249.38,Credit Card,Delivered,Newark,NJ,USA,SELL-630
ORD0000009,2023-04-21,CUST-01874,David Martinez,PROD-6878,Crocs Classic Clogs,Clothing & Fashion,Crocs,1,56.73,18.89,3.88,0.0,41.72,Credit Card,Delivered,Rockford,IL,USA,SELL-880
ORD0000010,2020-12-04,CUST-01439,James Williams,PROD-7146,DEWALT 20V Max Cordless Drill,Tools & Home Improvement,DEWALT,1,166.27,0.0,8.81,0.0,175.08,Credit Card,Delivered,Richmond,VA,USA,SELL-967
ORD0000011,2021-12-24,CUST-11897,Jennifer Jones,PROD-7085,Lodge Cast Iron Skillet,Home & Kitchen,Lodge,1,30.86,0.0,2.93,25.4,59.19,Debit Card,Delivered,Seattle,WA,USA,SELL-759
ORD0000012,2023-02-13,CUST-00378,Michael Garcia,PROD-5841,Gaiam Yoga Mat,Sports & Fitness,Gaiam,1,35.27,5.61,2.08,32.8,64.54,Credit Card,Delivered,Jacksonville,FL,USA,SELL-143
ORD0000013,2022-01-03,CUST-02907,Mary Johnson,PROD-2800,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,2,132.09,98.45,13.67,10.36,189.76,Credit Card,Delivered,Fort Worth,TX,USA,SELL-416
ORD0000014,2022-02-03,CUST-02933,Patricia Brown,PROD-2190,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,2,474.01,118.54,58.06,14.59,902.13,Google Pay,Processing,Miami,FL,USA,SELL-696
ORD0000015,2020-07-09,CUST-11398,John Smith,PROD-1958,Philips Hue White & Color Ambiance,Tools & Home Improvement,Philips,1,85.83,12.09,5.9,0.0,79.64,Credit Card,Delivered,Augusta,GA,USA,SELL-169
ORD0000016,2024-07-01,CUST-12914,Jennifer Jones,PROD-1917,Ray-Ban Classic Wayfarer Sunglasses,Clothing & Fashion,Ray-Ban,2,195.04,0.0,25.84,0.0,415.92,Credit Card,Delivered,Jersey City,NJ,USA,SELL-780
ORD0000017,2022-11-26,CUST-00631,Jennifer Jones,PROD-3108,Vicks DayQuil/NyQuil Combo Pack,Health & Personal Care,Vicks,1,19.97,6.18,1.14,5.99,20.92,Credit Card,Delivered,Fort Worth,TX,USA,SELL-660
ORD0000018,2024-03-18,CUST-07536,Michael Garcia,PROD-9349,Logitech MX Master 3S Mouse,Electronics,Logitech,2,115.9,0.0,20.57,0.0,252.37,Credit Card,Delivered,New York,NY,USA,SELL-553
ORD0000019,2020-02-27,CUST-06819,John Smith,PROD-1000,Ninja Professional Blender,Home & Kitchen,Ninja,1,102.09,62.22,3.54,36.63,80.04,Credit Card,Delivered,Buffalo,NY,USA,SELL-414
ORD0000020,2021-03-26,CUST-11975,Robert Miller,PROD-1173,Gaiam Yoga Mat,Sports & Fitness,Gaiam,2,31.7,0.0,5.07,33.91,102.38,Debit Card,Delivered,Augusta,GA,USA,SELL-658
ORD0000021,2021-11-18,CUST-00288,John Smith,PROD-6682,iPad Air,Electronics,Apple,2,621.1,314.39,88.14,0.0,1015.95,Credit Card,Delivered,Memphis,TN,USA,SELL-706
ORD0000022,2022-08-30,CUST-14168,Mary Johnson,PROD-9215,Dune,Books & Media,Frank Herbert,3,10.95,0.0,1.97,8.99,43.81,Debit Card,Delivered,Detroit,MI,USA,SELL-925
ORD0000023,2022-02-26,CUST-00205,Mary Johnson,PROD-6969,Lutron Caseta Smart Dimmer Switch,Tools & Home Improvement,Lutron,3,63.87,0.0,12.69,0.0,204.3,Credit Card,Delivered,Jersey City,NJ,USA,SELL-426
ORD0000024,2020-12-22,CUST-00250,David Martinez,PROD-2337,Gaiam Yoga Mat,Sports & Fitness,Gaiam,1,30.87,11.72,1.15,30.3,50.6,Debit Card,Processing,Grand Rapids,MI,USA,SELL-229
ORD0000025,2023-04-17,CUST-00181,Elizabeth Davis,PROD-2511,Steelcase Series 1 Chair,Office Products,Steelcase,6,537.89,325.08,0.0,0.0,2902.26,Credit Card,Delivered,Salem,OR,USA,SELL-597
ORD0000026,2022-04-30,CUST-10118,John Smith,PROD-3609,Crocs Classic Clogs,Clothing & Fashion,Crocs,1,52.95,0.0,5.03,0.0,57.98,Apple Pay,Processing,Tacoma,WA,USA,SELL-354
ORD0000027,2021-11-30,CUST-00821,,PROD-7710,TRX All-in-One Suspension Trainer,Sports & Fitness,TRX,1,205.55,28.91,10.6,22.52,209.76,Credit Card,Shipped,Lansing,MI,USA,SELL-184
ORD0000028,2023-01-15,CUST-03827,Michael Garcia,PROD-3467,Mattel Games UNO,Toys & Games,Mattel,2,6.67,1.59,0.7,8.99,21.44,Credit Card,Delivered,Allentown,PA,USA,SELL-416
ORD0000029,2023-02-02,CUST-13941,John Smith,PROD-8764,DEWALT 20V Max Cordless Drill,Tools & Home Improvement,DEWALT,1,170.75,24.52,8.77,0.0,155.0,Credit Card,Delivered,Lansing,MI,USA,SELL-711
ORD0000030,2022-10-01,CUST-10554,John Smith,PROD-1706,Carhartt Men's K87 Pocket T-Shirt,Clothing & Fashion,Carhartt,2,20.38,0.0,3.36,0.0,44.12,Debit Card,Delivered,Fort Worth,TX,USA,SELL-924
