CustomerID,CustomerName,Customer_Type,City,State,Country
CUST-00236,David Martinez,New,Rockford,IL,USA
CUST-12452,Robert Miller,New,Savannah,GA,USA
CUST-00013,Robert Miller,New,Richmond,VA,USA
CUST-00204,Linda Rodriguez,New,Worcester,MA,USA
CUST-00555,Robert Miller,New,Richmond,VA,USA
CUST-02904,Linda Rodriguez,New,Columbus,OH,USA
CUST-00409,David Martinez,New,Vancouver,WA,USA
CUST-11857,John Smith,New,Scottsdale,AZ,USA
CUST-00609,David Martinez,New,Boston,MA,USA
CUST-06312,David Martinez,New,Lansing,MI,USA
CUST-03958,Patricia Brown,New,Aurora,IL,USA
CUST-14576,Linda Rodriguez,New,Worcester,MA,USA
CUST-00323,Jennifer Jones,New,Salem,OR,USA
CUST-11180,Patricia Brown,New,Rochester,NY,USA
CUST-00734,Linda Rodriguez,New,Tucson,AZ,USA
CUST-00272,Michael Garcia,New,Boston,MA,USA
CUST-00079,Patricia Brown,New,Manchester,NH,USA
CUST-12945,Elizabeth Davis,New,Salem,OR,USA
CUST-00162,Patricia Brown,New,Worcester,MA,USA
CUST-00307,Jennifer Jones,New,Cincinnati,OH,USA
CUST-00374,David Martinez,New,Newark,NJ,USA
CUST-14747,Robert Miller,New,Houston,TX,USA
CUST-06123,Michael Garcia,New,Miami,FL,USA
CUST-00309,Linda Rodriguez,New,Mesa,AZ,USA
CUST-14728,Elizabeth Davis,New,Aurora,IL,USA
CUST-00142,Patricia Brown,New,Charlotte,NC,USA
CUST-00070,Michael Garcia,New,Nashua,NH,USA
CUST-09160,Patricia Brown,New,Newark,NJ,USA
CUST-14205,David Martinez,New,Seattle,WA,USA
CUST-04256,Robert Miller,New,Charlotte,NC,USA
CUST-12441,James Williams,New,Buffalo,NY,USA
CUST-00611,Patricia Brown,New,Erie,PA,USA
CUST-10954,Elizabeth Davis,New,Chicago,IL,USA
CUST-11381,Robert Miller,New,Richmond,VA,USA
CUST-13128,John Smith,New,Raleigh,NC,USA
CUST-00269,James Williams,New,New York,NY,USA
CUST-09906,Jennifer Jones,New,Richmond,VA,USA
CUST-14882,Patricia Brown,New,Memphis,TN,USA
CUST-02851,James Williams,New,Chicago,IL,USA
CUST-14585,James Williams,New,Worcester,MA,USA
CUST-00360,Robert Miller,New,Boston,MA,USA
CUST-10654,Michael Garcia,New,Richmond,VA,USA
CUST-00382,Robert Miller,New,San Jose,CA,USA
CUST-11545,David Martinez,New,Unknown,IL,USA
CUST-11275,Elizabeth Davis,New,Seattle,WA,USA
CUST-00709,Robert Miller,New,Nashville,TN,USA
CUST-00041,Mary Johnson,New,Akron,OH,USA
CUST-12795,Elizabeth Davis,New,Tacoma,WA,USA
CUST-00343,Michael Garcia,New,Charlotte,NC,USA
CUST-12344,John Smith,New,Jersey City,NJ,USA
CUST-12768,David Martinez,New,Charlotte,NC,USA
CUST-11856,Michael Garcia,New,Boston,MA,USA
CUST-00093,Patricia Brown,New,Rochester,NY,USA
CUST-00425,Patricia Brown,New,Sacramento,CA,USA
CUST-13497,Patricia Brown,New,Tampa,FL,USA
CUST-09729,James Williams,New,Nashua,NH,USA
CUST-00645,James Williams,New,Richmond,VA,USA
CUST-03350,David Martinez,New,Los Angeles,CA,USA
CUST-13882,John Smith,New,Atlanta,GA,USA
CUST-00562,Robert Miller,New,Erie,PA,USA
CUST-00290,David Martinez,New,Philadelphia,PA,USA
CUST-00514,Patricia Brown,New,Unknown,VA,USA
CUST-12124,James Williams,New,Miami,FL,USA
CUST-04062,John Smith,New,Jersey City,NJ,USA
CUST-00303,John Smith,New,Salem,OR,USA
CUST-00298,David Martinez,New,Seattle,WA,USA
CUST-12685,John Smith,New,Richmond,VA,USA
CUST-14820,Robert Miller,New,Boston,MA,USA
CUST-00525,Michael Garcia,New,Scottsdale,AZ,USA
CUST-00377,Jennifer Jones,New,Raleigh,NC,USA
CUST-06244,Jennifer Jones,New,Akron,OH,USA
CUST-00494,James Williams,New,Jacksonville,FL,USA
CUST-00277,James Williams,New,Jacksonville,FL,USA
CUST-00163,Patricia Brown,New,Aurora,IL,USA
CUST-00288,Robert Miller,New,Mesa,AZ,USA
CUST-11779,Robert Miller,New,Unknown,MA,USA
CUST-07012,David Martinez,New,Newark,NJ,USA
CUST-00074,Linda Rodriguez,New,Boston,MA,USA
CUST-00621,Elizabeth Davis,New,Nashville,TN,USA
CUST-00402,Michael Garcia,New,Newark,NJ,USA
CUST-09713,Patricia Brown,New,San Antonio,TX,USA
CUST-02125,Elizabeth Davis,New,Lansing,MI,USA
CUST-11915,Linda Rodriguez,New,Buffalo,NY,USA
CUST-00375,Linda Rodriguez,New,Jersey City,NJ,USA
CUST-06360,,New,Charlotte,NC,USA
CUST-00521,Linda Rodriguez,New,Boston,MA,USA
CUST-00397,Patricia Brown,New,Rockford,IL,USA
CUST-09264,David Martinez,New,Jersey City,NJ,USA
CUST-00680,David Martinez,New,Seattle,WA,USA
CUST-00639,Jennifer Jones,New,Boston,MA,USA
CUST-13836,Michael Garcia,New,Reading,PA,USA
CUST-00454,David Martinez,New,Charlotte,NC,USA
CUST-02790,Mary Johnson,New,Portland,OR,USA
CUST-00318,David Martinez,New,Raleigh,NC,USA
CUST-10088,Mary Johnson,New,Cincinnati,OH,USA
CUST-11681,Elizabeth Davis,New,Grand Rapids,MI,USA
CUST-00583,James Williams,New,Rochester,NY,USA
CUST-10943,David Martinez,New,Memphis,TN,USA
CUST-12289,Elizabeth Davis,New,Newark,NJ,USA
CUST-00746,Elizabeth Davis,New,Worcester,MA,USA
CUST-08497,Michael Garcia,New,Detroit,MI,USA
CUST-00174,Linda Rodriguez,New,Cleveland,OH,USA
CUST-00232,Michael Garcia,New,Charlotte,NC,USA
CUST-00669,Michael Garcia,New,Portland,OR,USA
CUST-11031,John Smith,New,Memphis,TN,USA
CUST-00143,Jennifer Jones,New,Memphis,TN,USA
CUST-00643,John Smith,New,Tucson,AZ,USA
CUST-11648,Michael Garcia,New,Detroit,MI,USA
CUST-00542,James Williams,New,San Antonio,TX,USA
CUST-00524,Michael Garcia,New,Lansing,MI,USA
CUST-00417,Jennifer Jones,New,Grand Rapids,MI,USA
CUST-00378,Elizabeth Davis,New,Jersey City,NJ,USA
CUST-07593,Elizabeth Davis,New,Virginia Beach,VA,USA
CUST-00022,John Smith,New,Memphis,TN,USA
CUST-00371,Patricia Brown,New,Vancouver,WA,USA
CUST-00179,James Williams,New,Rochester,NY,USA
CUST-00472,Mary Johnson,New,,MA,USA
CUST-00696,Jennifer Jones,New,Manchester,NH,USA
CUST-09559,Elizabeth Davis,New,Virginia Beach,VA,USA
CUST-03702,Linda Rodriguez,New,Dallas,TX,USA
CUST-13305,Mary Johnson,New,Nashua,NH,USA
CUST-04589,Linda Rodriguez,New,Charlotte,NC,USA
CUST-03508,Patricia Brown,New,Tacoma,WA,USA
CUST-03806,Jennifer Jones,New,Memphis,TN,USA
CUST-14917,David Martinez,New,Richmond,VA,USA
CUST-13412,David Martinez,New,Mesa,AZ,USA
CUST-11234,Linda Rodriguez,New,Vancouver,WA,USA
CUST-00091,James Williams,New,Nashua,NH,USA
CUST-00190,James Williams,New,Salem,OR,USA
CUST-00447,Patricia Brown,New,Salem,OR,USA
CUST-00725,Mary Johnson,New,New York,NY,USA
CUST-13176,David Martinez,New,Boston,MA,USA
CUST-06565,Linda Rodriguez,New,Richmond,VA,USA
CUST-12724,John Smith,New,Orlando,FL,USA
CUST-01563,Michael Garcia,New,Worcester,MA,USA
CUST-00471,Mary Johnson,New,Manchester,NH,USA
CUST-00631,Jennifer Jones,New,Macon,GA,USA
CUST-00662,Patricia Brown,New,Richmond,VA,USA
CUST-12511,Patricia Brown,New,Savannah,GA,USA
CUST-00656,David Martinez,New,Jersey City,NJ,USA
